proporcion,split,seed,bought_rate
70/15/15,test,206,0.12687585266030013
70/15/15,valid,207,0.13324080499653018
70/15/15,test,207,0.12856196156394964
70/15/15,valid,208,0.12309728656518862
70/15/15,test,208,0.13132694938440492
70/15/15,valid,209,0.1384928716904277
70/15/15,test,209,0.13227513227513227
70/15/15,valid,210,0.13141683778234087
70/15/15,test,210,0.13092105263157894
70/15/15,valid,211,0.12634408602150538
70/15/15,test,211,0.13284864507600794
70/15/15,valid,212,0.13075383589059372
70/15/15,test,212,0.13373655913978494
70/15/15,valid,213,0.12618724559023067
70/15/15,test,213,0.13052076466710613
70/15/15,valid,214,0.12872628726287264
70/15/15,test,214,0.12093023255813953
70/15/15,valid,215,0.1309987029831388
70/15/15,test,215,0.13242320819112627
70/15/15,valid,216,0.1246684350132626
70/15/15,test,216,0.1317241379310345
70/15/15,valid,217,0.12314939434724091
70/15/15,test,217,0.13154450261780104
70/15/15,valid,218,0.1273209549071618
70/15/15,test,218,0.1254980079681275
70/15/15,valid,219,0.13276089828269486
70/15/15,test,219,0.12894736842105264
70/15/15,valid,220,0.12869336835193695
70/15/15,test,220,0.128
70/15/15,valid,221,0.1248303934871099
70/15/15,test,221,0.1317880794701987
70/15/15,valid,222,0.13528212100611828
70/15/15,test,222,0.1264591439688716
70/15/15,valid,223,0.1256578947368421
70/15/15,test,223,0.13152542372881357
70/15/15,valid,224,0.12081418253447143
70/15/15,test,224,0.13049357674104126
70/15/15,valid,225,0.129928894634777
70/15/15,test,225,0.1261437908496732
70/15/15,valid,226,0.1301775147928994
70/15/15,test,226,0.1286195286195286
70/15/15,valid,227,0.13442622950819672
70/15/15,test,227,0.1312997347480106
70/15/15,valid,228,0.1270681667769689
70/15/15,test,228,0.13010899182561309
70/15/15,valid,229,0.12847682119205298
70/15/15,test,229,0.12738017071569271
70/15/15,valid,230,0.12368421052631579
70/15/15,test,230,0.13511659807956103
70/15/15,valid,231,0.135752688172043
70/15/15,test,231,0.13497340425531915
70/15/15,valid,232,0.13225371120107962
70/15/15,test,232,0.13466666666666666
70/15/15,valid,233,0.13179347826086957
70/15/15,test,233,0.13127930341594105
70/15/15,valid,234,0.12693082605775688
70/15/15,test,234,0.12971542025148908
70/15/15,valid,235,0.1208418194161575
70/15/15,test,235,0.13079584775086506
70/15/15,valid,236,0.12875250166777852
70/15/15,test,236,0.12771560236998025
70/15/15,valid,237,0.13280736357659434
70/15/15,test,237,0.12793034159410582
70/15/15,valid,238,0.1358839050131926
70/15/15,test,238,0.12390572390572391
70/15/15,valid,239,0.13451443569553806
70/15/15,test,239,0.12695179904955872
70/15/15,valid,240,0.1383989145183175
70/15/15,test,240,0.12941176470588237
70/15/15,valid,241,0.12632275132275134
70/15/15,test,241,0.1335095836087244
70/15/15,valid,242,0.1265738899933731
70/15/15,test,242,0.12338983050847457
70/15/15,valid,243,0.1351714862138534
70/15/15,test,243,0.1359289617486339
70/15/15,valid,244,0.13593539703903096
70/15/15,test,244,0.13089005235602094
70/15/15,valid,245,0.12735542560103963
70/15/15,test,245,0.12903225806451613
70/15/15,valid,246,0.12937293729372937
